Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
LOGC,LogicBio Therapeutics Inc. Common Stock,$7.63,242530888,108047,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LOGI,Logitech International S.A. Ordinary Shares,$97.19,16439653706,512718,Technology,Computer peripheral equipment
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,$6.15,733111980,95769,Capital Goods,Building Materials
LOOP,Loop Industries Inc. Common Stock,$8.30,350365734,137656,Basic Industries,Major Chemicals
LOPE,Grand Canyon Education Inc. Common Stock,$93.11,4362860670,127993,Consumer Services,Other Consumer Services
LORL,Loral Space and Communications Inc. Common Stock,$20.99,649278443,133998,Technology,Radio And Television Broadcasting And Communications Equipment
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.32,138622602,236281,Consumer Services,Other Consumer Services
LOVE,The Lovesac Company Common Stock,$43.09,632696416,266913,Consumer Services,Other Specialty Stores
LOW,Lowe's Companies Inc. Common Stock,$160.51,1.21E+11,2335557,Consumer Services,RETAIL: Building Materials
LPG,Dorian LPG Ltd. Common Stock,$12.19,620250227,314544,Transportation,Marine Transportation
LPI,Laredo Petroleum Inc. Common Stock,$19.70,236474978,253717,Energy,Oil & Gas Production
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,$8.44,6039929016,230520,Capital Goods,Industrial Machinery/Components
LPLA,LPL Financial Holdings Inc. Common Stock,$104.22,8263453515,296604,Finance,Investment Bankers/Brokers/Service
LPRO,Open Lending Corporation Class A Common Stock,$34.96,4043120819,1012309,Finance,Finance: Consumer Services
LPSN,LivePerson Inc. Common Stock,$62.23,4162264876,434184,Technology,Computer Software: Prepackaged Software
LPTH,LightPath Technologies Inc. Class A Common Stock,$3.92,102348162,250498,Technology,Semiconductors
LPX,Louisiana-Pacific Corporation Common Stock,$37.17,4063566427,940516,Basic Industries,Forest Products
LQDT,Liquidity Services Inc. Common Stock,$15.91,543309572,254249,Miscellaneous,Business Services
LRCX,Lam Research Corporation Common Stock,$472.27,68011234329,1663104,Technology,Industrial Machinery/Components
LRMR,Larimar Therapeutics Inc. Common Stock,$21.41,328776370,23989,Health Care,Major Pharmaceuticals
LRN,Stride Inc. Common Stock,$21.23,881812486,433572,Consumer Services,Other Consumer Services
LSAQ,LifeSci Acquisition II Corp. Common Stock,$10.67,108463655,13485,Finance,Business Services
LSCC,Lattice Semiconductor Corporation Common Stock,$45.82,6238661963,775297,Technology,Semiconductors
LSF,Laird Superfood Inc. Common Stock,$47.32,419959795,94747,Consumer Non-Durables,Packaged Foods
LSI,Life Storage Inc. Common Stock,$119.39,5802053495,435323,Consumer Services,Real Estate Investment Trusts
LSPD,Lightspeed POS Inc. Subordinate Voting Shares,$70.39,8292414598,201272,Technology,Computer Software: Prepackaged Software
LSTR,Landstar System Inc. Common Stock,$134.66,5168759680,188755,Transportation,Trucking Freight/Courier Services
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$43.19,14700366164,329611,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$43.29,14734402668,620,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$43.51,14809282977,354086,Consumer Services,Broadcasting
LTC,LTC Properties Inc. Common Stock,$38.91,1526914975,171131,Consumer Services,Real Estate Investment Trusts
LTHM,Livent Corporation Common Stock,$18.84,2756339420,2079215,Basic Industries,Major Chemicals
LTRN,Lantern Pharma Inc. Common Stock,$19.25,119688357,53802,Health Care,Major Pharmaceuticals
LTRPA,Liberty TripAdvisor Holdings Inc. Series A Common Stock,$4.34,326022384,1019531,Technology,EDP Services
LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,$29.43,2210792342,2736,Technology,EDP Services
LTRX,Lantronix Inc. Common Stock,$4.44,126943991,132798,Technology,Computer Communications Equipment
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,$14.20,34621673086,5111353,Finance,Finance: Consumer Services
LULU,lululemon athletica inc. Common Stock,$348.03,45361549801,791971,Consumer Non-Durables,Apparel
LUMN,CenturyLink Inc. d/b/a Lumen Technologies Inc. Common Stock,$9.75,10697029493,10278047,Public Utilities,Telecommunications Equipment
